S;BKE022508SES00000004;BKE022508INV00000008;43000;BKE02;0;0;2;17CR2V152/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;44000;BKE02;0;0;2;17CR2V15ANB60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;45000;BKE02;0;0;2;17CR2V15ANGH25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;46000;BKE02;0;0;2;17CR2V15B40A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;47000;BKE02;0;0;2;17CR2V15B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;48000;BKE02;0;0;2;17CR2V15B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;49000;BKE02;0;0;2;17CR2V15B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;50000;BKE02;0;0;2;17CR2V15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;51000;BKE02;0;0;2;17CR2V15H25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;52000;BKE02;0;0;2;17CR2V202/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;53000;BKE02;0;0;2;17CR2V20ANG2/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;54000;BKE02;0;0;2;17CR2V20ANGA650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;55000;BKE02;0;0;2;17CR2V20ANGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;56000;BKE02;0;0;2;17CR2V20B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;57000;BKE02;0;0;2;17CR2V20B20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;58000;BKE02;0;0;2;17CR2V20B40A650GAM;;A;UN;0;BKE2;
